Experiment #,Parameters,RMSE
1,"units_1=128, units_2=64, dropout_rate=0.2, optimizer=adam",0.019872
2,"units_1=128, units_2=64, dropout_rate=0.3, optimizer=adam",0.017353
3,"units_1=256, units_2=128, dropout_rate=0.2, optimizer=adam",0.017338
4,"units_1=64, units_2=64, dropout_rate=0.2, optimizer=adam",0.033187
5,"units_1=64, units_2=32, dropout_rate=0.2, optimizer=adam",0.047344
6,"units_1=128, units_2=128, dropout_rate=0.2, optimizer=adam",0.02529
7,"units_1=64, units_2=128, dropout_rate=0.3, optimizer=adam",0.021898
8,"units_1=256, units_2=256, dropout_rate=0.2, optimizer=adam",0.032559
9,"units_1=32, units_2=64, dropout_rate=0.2, optimizer=adam",0.032286
10,"units_1=128, units_2=32, dropout_rate=0.2, optimizer=adam",0.033354
11,"units_1=256, units_2=128, dropout_rate=0.4, optimizer=adam",0.017477
12,"units_1=128, units_2=64, dropout_rate=0.2, optimizer=adam",0.049863
13,"units_1=128, units_2=128, dropout_rate=0.2, optimizer=adam",0.034029
14,"units_1=256, units_2=64, dropout_rate=0.3, optimizer=adam",0.022881
15,"units_1=64, units_2=64, dropout_rate=0.1, optimizer=adam",0.022618
16,"units_1=128, units_2=128, dropout_rate=0.2, optimizer=adam",0.024
17,"units_1=256, units_2=256, dropout_rate=0.3, optimizer=adam",0.033791
18,"units_1=64, units_2=32, dropout_rate=0.2, optimizer=adam",0.061209
19,"units_1=128, units_2=64, dropout_rate=0.1, optimizer=adam",0.021531
20,"units_1=64, units_2=64, dropout_rate=0.3, optimizer=adam",0.032864
